date,AAPL,AMZN,F
2016-06-17,91.7849,706.39,11.6531
2016-06-20,91.5635,714.01,11.7937
2016-06-21,92.3434,715.82,11.6179
2016-06-22,91.9968,710.6,11.5827
2016-06-23,92.5263,722.08,11.7761
2016-06-24,89.9267,698.96,11.0027
2016-06-27,88.6173,691.36,10.6864
2016-06-28,90.1096,707.95,10.8885
2016-06-29,90.8895,715.6,11.0291
2016-06-30,92.0449,715.62,11.0467
2016-07-01,92.3241,725.68,11.1785
2016-07-05,91.4576,728.1,10.8973
2016-07-06,91.9775,737.61,11.0467
2016-07-07,92.3723,736.57,11.2049
2016-07-08,93.0847,745.81,11.5037
2016-07-11,93.3736,753.78,11.6618
2016-07-12,93.7972,748.21,11.82
2016-07-13,93.2677,742.63,11.8464
2016-07-14,95.1163,741.2,11.9431
2016-07-15,95.1066,735.44,11.9255
2016-07-18,96.1176,736.07,11.9958
2016-07-19,96.1561,739.95,11.9958
2016-07-20,96.2428,745.72,12.0749
2016-07-21,95.7325,744.43,12.2331
2016-07-22,94.9911,744.86,12.1628
2016-07-25,93.7202,739.61,12.154
2016-07-26,93.0751,735.59,12.3139
2016-07-27,99.1216,736.67,12.2961
2016-07-28,100.4599,752.61,11.2922
2016-07-29,100.3347,758.81,11.2478
2016-08-01,102.1063,767.74,11.0878
2016-08-02,100.5947,760.58,10.6081
2016-08-03,101.856,754.64,10.7769
2016-08-04,102.4852,760.77,10.7325
2016-08-05,104.0437,765.98,10.8302
2016-08-08,104.9052,766.56,10.8213
2016-08-09,105.3312,768.31,10.9368
2016-08-10,104.5471,768.56,10.8835
2016-08-11,104.4793,771.24,10.9368
2016-08-12,104.7213,772.56,10.9546
2016-08-15,105.9798,768.49,11.0434
2016-08-16,105.883,764.04,10.9635
2016-08-17,105.7281,764.63,11.0079
2016-08-18,105.5925,764.46,10.9546
2016-08-19,105.8636,757.31,11.0079
2016-08-22,105.0408,759.48,10.9812
2016-08-23,105.3699,762.45,11.0345
2016-08-24,104.5761,757.25,10.9279
2016-08-25,104.1308,759.22,11.079
2016-08-26,103.521,769.0,10.999
2016-08-29,103.4048,771.29,11.079
2016-08-30,102.611,767.58,11.15
2016-08-31,102.7078,769.16,11.1945
2016-09-01,103.3177,770.62,11.0523
2016-09-02,104.2857,772.44,11.1056
2016-09-06,104.2567,788.87,11.2566
2016-09-07,104.8956,784.48,11.2833
2016-09-08,102.1464,784.06,11.31
2016-09-09,99.8328,760.14,10.999
2016-09-12,102.0689,771.49,11.2833
2016-09-13,104.4987,761.01,10.999
2016-09-14,108.1965,761.09,10.7858
2016-09-15,111.875,769.69,10.7591
2016-09-16,111.2458,778.52,10.7591
2016-09-19,109.9487,775.1,10.7591
2016-09-20,109.939,780.22,10.6614
2016-09-21,109.9196,789.74,10.7413
2016-09-22,110.9554,804.7,10.8213
2016-09-23,109.1065,805.75,10.8124
2016-09-26,109.2711,799.16,10.6703
2016-09-27,109.4743,816.11,10.6436
2016-09-28,110.3068,828.72,10.7413
